Wall time,Step,Value
1743903219.352815,2048,17.0
1743903320.5612085,4096,18.0
1743903425.1887307,6144,19.0
1743903531.5498807,8192,19.0
1743903632.0449908,10240,19.0
1743903730.662974,12288,19.0
1743903821.6179543,14336,19.0
1743903931.5075257,16384,19.0
1743904025.7241502,18432,19.0
1743904123.4368596,20480,20.0
1743904220.2174551,22528,20.0
1743904315.711938,24576,20.0
1743904406.8231714,26624,20.0
1743904498.7936249,28672,20.0
1743904586.7366457,30720,20.0
1743904667.2125778,32768,20.0
1743904743.0783353,34816,21.0
1743904807.3383465,36864,21.0
1743904876.5138977,38912,21.0
1743904945.7415586,40960,22.0
1743905015.232102,43008,22.0
1743905081.4428654,45056,22.0
1743905148.3123536,47104,23.0
1743905217.967116,49152,23.0
1743905283.4647613,51200,23.0
1743905354.448866,53248,23.0
1743905419.2891712,55296,23.0
1743905483.6708596,57344,24.0
1743905551.8654652,59392,24.0
1743905631.1337852,61440,24.0
1743905710.2050514,63488,24.0
1743905798.2746274,65536,24.0
1743905880.3822145,67584,24.0
1743905960.6604908,69632,24.0
1743906044.2259333,71680,24.0
1743906122.286774,73728,24.0
1743906213.2083716,75776,24.0
1743906295.3734624,77824,24.0
1743906382.4850094,79872,24.0
1743906461.9407084,81920,24.0
1743906546.7395682,83968,24.0
1743906613.2794166,86016,24.0
1743906683.292128,88064,24.0
1743906750.6506195,90112,24.0
1743906816.5891526,92160,24.0
1743906885.704326,94208,24.0
1743906946.8430998,96256,25.0
1743907014.9323943,98304,25.0
1743907080.275367,100352,25.0
1743907147.6305995,102400,25.0
1743907215.1500597,104448,25.0
1743907281.451692,106496,25.0
1743907363.6357005,108544,25.0
1743907454.7668855,110592,25.0
1743907541.4291232,112640,25.0
1743907632.7971354,114688,25.0
1743907728.0500512,116736,25.0
1743907821.1291335,118784,25.0
1743907918.0241132,120832,25.0
1743908012.7881763,122880,25.0
1743908108.0688214,124928,24.0
1743908205.7480257,126976,24.0
1743908298.6052253,129024,24.0
1743908398.0310328,131072,24.0
1743908490.5834064,133120,24.0
1743908579.8072493,135168,24.0
1743908669.3814871,137216,24.0
1743908760.3808627,139264,24.0
1743908851.055869,141312,24.0
1743908942.4564278,143360,24.0
1743909036.6952784,145408,24.0
1743909121.3654137,147456,24.0
1743909189.5059974,149504,24.0
1743909276.4220347,151552,24.0
1743909369.8948839,153600,24.0
1743909465.645153,155648,24.0
1743909567.658803,157696,24.0
1743909661.321433,159744,24.0
1743909753.2184753,161792,24.0
1743909846.1243913,163840,24.0
1743909936.6039143,165888,24.0
1743910012.1705422,167936,24.0
1743910087.8000338,169984,24.0
1743910171.1365173,172032,24.0
1743910261.243583,174080,24.0
1743910361.3454843,176128,24.0
1743910461.0039625,178176,24.0
1743910567.2441113,180224,24.0
1743910667.4512908,182272,24.0
1743910764.7507818,184320,24.0
1743910866.2846894,186368,24.0
1743910948.926744,188416,24.0
1743911046.3138616,190464,23.0
1743911139.125587,192512,23.0
1743911241.714264,194560,23.0
1743911343.532633,196608,23.0
1743911440.4439094,198656,23.0
1743911535.377854,200704,23.0
1743911628.252599,202752,23.0
1743911693.014972,204800,23.0
1743911765.221989,206848,23.0
1743911836.6582272,208896,23.0
1743911907.6142514,210944,23.0
1743911977.034927,212992,24.0
1743912045.9074962,215040,24.0
1743912112.5958304,217088,24.0
1743912182.0249093,219136,24.0
1743912249.4458659,221184,24.0
1743912307.456241,223232,24.0
1743912379.9331152,225280,24.0
1743912439.7736964,227328,24.0
1743912499.5774612,229376,24.0
